"","Fold Change","log2(FC)"
"Q15904",1.1059,0.14528
"Q86SQ4",1.1056,0.14488
"P61586",1.1025,0.14077
"Q9NP72",1.1023,0.14056
"Q02487",1.1017,0.13969
"P04406",1.0989,0.13602
"P07686",1.0943,0.13
"P10643",1.0933,0.12864
"P21399",1.0892,0.12329
"Q99497",0.91847,-0.1227
"P60981",1.0874,0.12087
"P63313",1.0853,0.11816
"P11021",1.0851,0.11786
"P14618",0.92432,-0.11354
"P01009",1.0791,0.10989
"A6NNI4",0.92672,-0.10979
"P15328",0.92765,-0.10834
"P04003",1.0778,0.10813
"A0A087X1J7",1.0746,0.10375
"P54802",1.0713,0.099368
"P01024",1.071,0.098953
"Q92876",1.07,0.097574
"Q6PCB0",1.0683,0.095359
"P52823",0.93613,-0.095215
"P06733",1.0675,0.094248
"P04217",0.93895,-0.090874
"P52209",0.93907,-0.090691
"Q96FQ6",0.93943,-0.090148
"Q14118",0.9409,-0.087882
"Q9UHL4",0.943,-0.084678
"C9J9K3",1.0583,0.081706
"P00747",0.94605,-0.08001
"P31946",1.0553,0.07764
"P02787",0.9486,-0.076135
"Q16555",1.0529,0.074325
"P40925",0.95319,-0.069165
"P00738",1.0473,0.066637
"Q02809",1.0472,0.066531
"S4R3V8",1.0465,0.065521
"P06727",1.045,0.063507
"P02765",1.0404,0.057103
"P08603",0.97131,-0.041999
"Q9P2X0",1.0293,0.041631
"Q9BWD1",0.97163,-0.041519
"P50591",0.97598,-0.035078
"Q96FE7",0.97815,-0.031874
"Q9BXJ1",0.97878,-0.030936
"Q14195",1.0135,0.019316
"Q06323",0.98794,-0.017498
"P12273",0.9889,-0.016102
"Q8NBJ7",1.0086,0.012417
"P36222",0.99226,-0.011212
"P02749",1.0056,0.0080337
"H0YCU0",0.99469,-0.0076868
"P58499",0.9956,-0.0063675
