"","V","p.value","-log10(p)","FDR"
"P61981",404,0.8255,0.083284,0.93143
"P07737",375,0.8255,0.083284,0.93143
"P31946",376,0.83779,0.076867,0.93143
"P52823",403,0.83779,0.076867,0.93143
"Q9NZH0",376,0.83779,0.076867,0.93143
"P01009",402,0.85011,0.070524,0.93143
"P06727",402,0.85011,0.070524,0.93143
"P19652",377,0.85011,0.070524,0.93143
"P36871",402,0.85011,0.070524,0.93143
"P02749",377,0.85011,0.070524,0.93143
"P11021",377,0.85011,0.070524,0.93143
"P07602",400,0.87487,0.058056,0.95029
"Q9UHL4",400,0.87487,0.058056,0.95029
"H0YCU0",399,0.8873,0.051931,0.95149
"P01019",399,0.8873,0.051931,0.95149
"P21399",399,0.8873,0.051931,0.95149
"P06733",381,0.89975,0.045878,0.9567
"P04406",398,0.89975,0.045878,0.9567
"Q02809",382,0.91223,0.039896,0.95784
"O00592",397,0.91223,0.039896,0.95784
"P14618",397,0.91223,0.039896,0.95784
"Q92876",395,0.93725,0.028147,0.97196
"Q15904",384,0.93725,0.028147,0.97196
"Q8N474",384,0.93725,0.028147,0.97196
"A0A087X1J7",394,0.94978,0.022378,0.97392
"P08294",394,0.94978,0.022378,0.97392
"P04745",393,0.96232,0.016679,0.97392
"Q12841",393,0.96232,0.016679,0.97392
"P63313",386,0.96232,0.016679,0.97392
"Q99519",393,0.96232,0.016679,0.97392
"P51149",392,0.97488,0.01105,0.98268
"Q8NBJ7",391,0.98744,0.0054907,0.98744
"P43652",388,0.98744,0.0054907,0.98744
