"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"O00592",0.23036,0.33009,0.41165,0.48334,0.5934
"P01859",0.22298,0.23046,0.26458,0.42186,0.46141
"P31946",0.22267,0.49823,0.84722,0.81399,0.8072
"P06733",0.21446,0.46716,0.44087,0.49651,0.50676
"P04217",0.19483,0.62068,0.59728,0.57247,0.57513
"Q9NP72",0.18302,0.15881,0.18465,0.33009,0.32993
"P18065",0.18158,0.62671,0.58522,0.582,0.58632
"H3BVI7",0.17682,0.21594,0.3522,0.73986,0.75841
"P01877",0.16322,0.3744,1.0018,0.98429,0.99838
"P01591",0.15982,0.49294,0.48398,0.50577,0.49448
"Q14118",0.15374,0.20346,0.70729,0.77634,0.81787
"P07602",0.15027,0.72282,0.67117,0.64415,0.63505
"P54802",0.14197,0.40183,0.37954,0.364,0.36207
"P02765",0.13781,0.1587,0.26123,0.25946,0.25481
"O00300",0.13735,0.1533,0.39413,0.4468,0.50996
"P50395",0.13501,0.12499,0.28173,0.35223,0.43108
"P02749",0.13248,0.84294,0.7978,0.76671,0.76023
"P04745",0.12588,0.60441,0.56112,0.58421,0.57203
"P05090",0.12533,0.3515,0.32795,0.4001,0.55268
"P61586",0.12439,0.25835,0.46493,0.54823,0.53631
"P06727",0.12125,0.61208,0.56794,0.54442,0.55354
"P01024",0.11951,0.6706,0.63419,0.60766,0.63017
"P08238",0.11673,0.92492,0.85824,0.9882,1.0342
"Q9Y6Y9",0.11499,0.12838,0.12185,0.54263,0.54553
"P17066",0.1128,0.24177,0.29178,0.27966,0.3058
"A0A0C4DH38",0.1111,0.087925,0.29453,0.32244,0.37594
"E9PNW4",0.10678,0.25794,0.46781,0.44958,0.44545
"Q02809",0.10369,0.47057,0.69678,0.80991,0.862
"P07900",0.10358,0.94046,0.93495,1.0116,0.98954
"P23528",0.1016,0.44891,0.63134,0.67508,0.66019
"P30041",0.096419,0.92157,0.88051,0.9439,0.92553
"P62937",0.091024,0.52664,0.60496,0.63477,0.62083
"P60953",0.089939,0.39968,0.55566,0.53506,0.52381
"Q96FQ6",0.087642,0.84244,0.8937,0.87832,0.88577
"Q92876",0.085693,0.52316,0.57685,0.58132,0.58251
"Q14512",0.074914,0.20476,0.48089,0.66114,0.66262
"P50591",0.069358,0.10197,0.0947,0.31285,0.36894
"P14550",0.065202,0.74612,0.76687,0.74089,0.76325
"P00441",0.061581,0.73439,0.93907,0.93052,0.92387
"P28799",0.053391,0.6183,0.63431,0.61012,0.59653
"P17900",0.050327,0.77846,0.7869,0.77928,0.77515
"Q96FE7",0.046253,0.33125,0.67452,0.81734,0.86967
"P30086",0.041442,0.87884,0.84249,0.81294,0.85498
"H0YCU0",0.041189,0.42845,0.52284,0.50172,0.50009
"P00558",0.038724,0.57054,0.56609,0.56444,0.55186
"P84077",0.029845,0.42597,0.52832,0.79121,0.7735
"P01019",0.023817,0.516,0.49869,0.47801,0.49428
"Q13228",0.009601,1.2857,1.2788,1.2263,1.1987
"P10643",0.0092324,0.24801,0.76723,0.73897,0.72312
"P01009",0.0069804,0.62024,0.65893,0.63191,0.65711
"P19875",0.0046141,0.27007,0.45722,0.55647,0.56445
"P49189",0.0005022,0.92669,0.98138,0.95261,0.93656
"P04406",0.00048817,0.39194,0.37722,0.38477,0.38971
