"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Q99497",-0.054964,0.045687,0.11314,-0.09421,0.012489,-0.09792,0.039085,0.079933
"P36871",-0.068973,0.047966,-0.0097615,-0.12705,0.081654,0.070588,0.00010537,-0.12783
"P50591",0.011894,-0.0088447,0.066583,-0.034266,-0.079242,0.033692,-0.01481,0.00022578
"P15311",-0.07911,0.011841,0.014205,-0.072571,0.19217,0.078903,-0.089079,-0.069276
"P00747",0.076218,-0.051919,0.049491,-0.028381,-0.078511,0.016722,0.0012272,-0.0024748
"P08697",0.014963,-0.090149,-0.0014718,0.014489,0.018588,0.032562,0.056762,-0.0099818
"Q96S86",-0.010348,0.036336,0.05126,-0.0071606,-0.097346,0.14307,-0.08373,0.046609
"P02671",0.037358,-0.063042,0.053841,-0.06675,-0.010741,-0.011873,0.026213,-0.024519
"P49189",-0.080329,0.12042,-0.046374,-0.01807,-0.06119,0.03471,0.023222,-0.025074
"P07900",-0.074735,0.11315,0.046739,-0.1094,-0.026223,0.032983,0.028595,-0.043551
"P01008",0.014683,-0.071184,0.045994,-0.0052545,-0.03108,0.050416,-0.0098736,0.022694
"Q9BY76",0.026411,-0.011278,-0.084335,0.12068,-0.014585,-0.068501,0.027705,0.01944
"Q14624",0.041943,-0.015346,-0.053892,0.077288,-0.066797,0.016037,0.034454,0.029538
"P27105",-0.11298,-0.025087,0.11976,-0.045859,-0.077767,0.11415,-0.16924,0.23823
"P01133",0.050496,-0.082911,0.0061892,-0.00013546,-0.026545,0.014924,0.014019,-0.015775
"P31946",-0.054578,0.0035159,0.13312,-0.034061,0.12713,-0.078185,-0.0091547,0.018017
"Q9HB40",0.082798,-0.051163,0.018735,-0.0061735,-0.07871,0.0017699,-0.010593,-0.023327
"P13639",-0.17858,0.076394,0.068809,-0.12276,-0.06963,0.036158,0.057192,-0.043678
"P61224",-0.016476,-0.0058374,-0.12336,0.096077,0.040445,-0.085042,0.018586,0.014942
"Q6PCB0",0.057739,-0.065657,0.0039466,0.03143,0.0073666,-0.0077294,0.05551,0.0040574
"P02748",0.066613,0.0093971,-0.083197,0.0029686,-0.017095,0.053738,0.011861,0.025617
"P07237",0.010827,0.0068449,0.14241,-0.043956,-0.064631,0.012519,-0.021781,0.0038985
"Q14118",0.0046441,-0.057516,0.031804,0.13014,-0.11043,0.10958,-0.13107,0.0084896
"Q6UXI9",0.038345,-0.057695,-0.020573,-0.040002,0.029808,0.11352,-0.056779,-0.073844
"P02675",0.029398,0.016867,0.06562,-0.041016,-0.21282,0.081203,-0.0097768,0.045002
"P51148",-0.072848,0.07153,-0.10557,0.024861,-0.0031979,0.15625,-0.18762,0.070912
"Q5T985",0.045962,-0.11067,0.022573,-0.032976,0.034443,-0.025404,0.022578,-0.0056699
"P02760",0.0463,-0.03706,0.083001,0.045983,-0.10676,0.070791,-0.0059376,0.024394
"G3XAM2",0.096962,0.039637,0.073582,-0.023166,-0.19704,0.068703,-0.057084,0.085111
"P01023",0.069382,-0.035894,0.05494,-0.038871,-0.0095122,0.0059927,0.011958,0.035854
"P05067",0.039613,0.042911,0.088902,-0.080557,-0.099695,0.18065,-0.051968,0.13414
"P54802",0.042468,-0.034046,-0.015382,0.013695,-0.059584,0.14523,-0.12191,0.01125
"Q02809",0.03368,-0.013204,0.0091847,-0.048642,-0.15198,0.059207,-0.015494,-0.035004
"P17900",0.070593,-0.058242,-0.0093951,-0.021304,-0.091848,0.10736,-0.06589,-0.046408
"P36955",0.051224,0.034329,-0.1904,0.11769,0.010626,-0.024143,0.058421,0.022028
"P02751",0.10544,-0.040246,0.044326,-0.053426,-0.0016619,0.0081639,0.030442,-0.061849
"D6RHI9",-0.00083695,-0.010804,0.11695,0.045812,-0.076528,0.052437,0.053142,0.0057657
"P04003",0.096755,-0.0077395,0.013916,-0.029949,-0.11408,0.14984,-0.020378,0.081446
"P43251",0.0050894,-0.046147,-0.012961,-0.094765,-0.13317,0.22766,-0.056584,0.099171
"P02766",-0.041171,0.031612,-0.085092,0.12342,-0.10734,0.010073,0.058463,0.036668
"Q5H9A7",0.031466,0.034252,-0.1714,0.15654,-0.028625,-0.028555,0.050633,-0.011918
"A0A087X1J7",0.026783,0.018435,-0.19484,0.14518,-0.028564,-0.045423,0.043673,0.047352
"E7EU05",0.0028543,-0.036965,-0.051201,0.062625,-0.028722,0.0024114,0.022449,-0.0003737
"Q9NR31",-0.051756,-0.0043441,-0.1058,0.051832,0.15208,-0.10749,-0.033132,0.054689
"P04066",-0.0031495,-0.0077296,-0.17129,0.15405,-0.0097246,-0.067072,0.086535,-0.043282
"A6NNI4",0.031253,0.031477,-0.19677,0.11358,0.0069084,-0.06446,0.062099,0.024502
"A0A0C4DGN4",0.018527,0.03073,-0.17864,0.15242,-0.054554,-0.047368,0.032485,-0.002175
"Q9UHD0",-0.033991,-0.068205,-0.012231,0.046591,0.0688,0.0029691,0.075775,-0.19693
"P51149",-0.029313,0.11553,-0.16779,0.014331,0.059713,0.013248,-0.047489,0.080461
"P01019",0.046219,-0.042708,-0.02643,0.027593,-0.050098,-0.022592,0.0082956,0.069694
