"","value.var","Freq"
"Q9Y5P6",0.392623635343902,1
"P25786.1",0.302216379305,1
"P05090",-0.296383183744585,1
"J3QR09",0.225892617529529,0.996
"Q92597",0.225336121429954,0.998
"P62266",0.211758777172226,0.986
"Q9HBR0",-0.209867143460864,0.998
"Q6UXI9",-0.208694368347913,0.98
"Q02809",-0.192800334603352,0.984
"Q7KZF4",0.190386318633479,0.982
"P28070",0.182863170553811,0.992
"C9JXB8",0.179232952146327,0.992
"Q9Y646",-0.173502976187595,0.958
"P01133",-0.17047676962285,0.966
"A0A075B7B8",-0.169399859818474,0.946
"Q06210",0.166052286533338,0.922
"P43251",-0.161562466802597,0.968
"O43175",0.146586175386269,0.938
"P25786",0.123376441676334,0.922
"P14324",0.119051520649425,0.906
"Q9UHL4",-0.116132814893566,0.872
"P06733",0.112157992473361,0.882
"Q10471",-0.102345430305002,0.824
"E9PDQ1",-0.0975703817172766,0.772
"O60547",0.0856100454434656,0.774
"P25788",0.0808346797247192,0.846
"Q9BWS9",-0.0806069688623312,0.848
"P00352",0.0782537876941745,0.742
"E9PJD9",0.0678920997845066,0.738
"O00462",-0.0597378508458564,0.726
"P18085",0.0537257249500676,0.58
"P46777",0.0531148256412083,0.624
"Q9BRK5",-0.0482210443019107,0.716
"P62851",0.0443351958178091,0.65
"M0R0F0",0.0385409473332982,0.574
"P61353",0.0379419072736625,0.624
"Q9NQX5",-0.0375175348708468,0.596
"Q92484",-0.0332146796527829,0.652
"P25398",0.0304851095715082,0.588
"P08294",-0.0283573026038985,0.458
"Q9BXJ1",-0.0266791606867727,0.508
"P30050",0.0266399908692859,0.552
"Q8NBJ7",-0.0242556831708573,0.442
"H7C2W9",0.0190616744448435,0.4
"Q16851",0.018658389244831,0.5
"O15143",0.0170849393937569,0.426
"P02671",-0.010234111397748,0.44
"O14672",-0.00342634707335738,0.384
"P14550",0.00157324997199016,0.378
"P04114",-0.000312645219215902,0.43
