,nrep.1,nrep.2,nrep.3,nrep.4,nrep.5,nrep.6,nrep.7,nrep.8,nrep.9,nrep.10,nrep.11,nrep.12,nrep.13,nrep.14,nrep.15,nrep.16,nrep.17,nrep.18,nrep.19,nrep.20,nrep.21,nrep.22,nrep.23,nrep.24,nrep.25,nrep.26,nrep.27,nrep.28,nrep.29,nrep.30,nrep.31,nrep.32,nrep.33,nrep.34,nrep.35,nrep.36,nrep.37,nrep.38,nrep.39,nrep.40,nrep.41,nrep.42,nrep.43,nrep.44,nrep.45,nrep.46,nrep.47,nrep.48,nrep.49,nrep.50,Mean,SD
1,0.5426,0.5409,0.5069,0.5533,0.5928,0.6056,0.6136,0.5422,0.5776,0.6132,0.607,0.4488,0.6091,0.6015,0.5405,0.5156,0.606,0.6288,0.5838,0.5118,0.509,0.5336,0.4758,0.5402,0.5696,0.6205,0.5159,0.5197,0.5381,0.5474,0.4737,0.5249,0.5897,0.588,0.5502,0.5838,0.6105,0.5616,0.5464,0.5907,0.5679,0.6202,0.5925,0.5516,0.545,0.5242,0.5488,0.6143,0.5585,0.608,0.561238,0.04258643
2,0.5831,0.5921,0.5457,0.6129,0.6136,0.6378,0.6337,0.5693,0.6066,0.6357,0.6233,0.5291,0.6392,0.6524,0.5776,0.5623,0.644,0.6676,0.6025,0.5776,0.5713,0.5893,0.5471,0.5997,0.597,0.66,0.5803,0.581,0.5845,0.6011,0.5229,0.5499,0.6233,0.5873,0.5886,0.5983,0.633,0.5976,0.6122,0.6503,0.6066,0.6524,0.6468,0.5983,0.5699,0.5526,0.5976,0.6461,0.5914,0.6593,0.602036,0.035660707
3,0.6136,0.6655,0.5942,0.653,0.6482,0.6579,0.6434,0.6053,0.6468,0.6634,0.6738,0.5859,0.6766,0.6801,0.626,0.6122,0.696,0.7001,0.6676,0.615,0.6517,0.6434,0.6219,0.6337,0.66,0.7008,0.6233,0.6267,0.6122,0.6461,0.5582,0.6253,0.6544,0.6579,0.6364,0.6454,0.6641,0.624,0.6323,0.6745,0.6676,0.6884,0.6842,0.624,0.6392,0.617,0.6544,0.6849,0.6025,0.7175,0.645932,0.032291153
4,0.6683,0.7265,0.6877,0.6911,0.6953,0.6939,0.687,0.6814,0.66,0.6932,0.7105,0.642,0.7396,0.7126,0.6801,0.644,0.7265,0.7382,0.6932,0.6842,0.7001,0.6863,0.6669,0.6842,0.714,0.7202,0.6766,0.6794,0.6745,0.6898,0.6025,0.6475,0.6891,0.6925,0.678,0.6821,0.7105,0.6745,0.6704,0.7209,0.7147,0.7361,0.7112,0.6669,0.662,0.6662,0.6918,0.7569,0.6676,0.7445,0.690664,0.029218018
5,0.7251,0.7569,0.7258,0.7611,0.7514,0.7403,0.7223,0.732,0.7091,0.7258,0.7313,0.6974,0.786,0.7694,0.7341,0.6994,0.7791,0.7687,0.7618,0.7375,0.7417,0.7341,0.7078,0.7299,0.7292,0.7729,0.7292,0.7632,0.7271,0.7548,0.6427,0.7181,0.7625,0.7223,0.7022,0.7216,0.7355,0.7285,0.7258,0.7652,0.7666,0.8019,0.7341,0.7133,0.7112,0.7029,0.7659,0.786,0.7091,0.7853,0.738102,0.029364525
6,0.7542,0.7729,0.7458,0.7853,0.7832,0.7521,0.7355,0.7576,0.723,0.7445,0.7645,0.7348,0.8172,0.786,0.7514,0.7147,0.804,0.7895,0.7798,0.7701,0.777,0.7514,0.7355,0.7278,0.7521,0.7881,0.768,0.7909,0.7555,0.7659,0.6614,0.7486,0.7715,0.7514,0.7105,0.7452,0.7555,0.7403,0.7576,0.7825,0.7735,0.8158,0.7625,0.732,0.7542,0.7271,0.7853,0.7992,0.7258,0.8109,0.759782,0.029484646
7,0.7645,0.7895,0.7514,0.8012,0.7902,0.7569,0.7452,0.7632,0.7306,0.7576,0.7735,0.7382,0.8199,0.8068,0.7639,0.732,0.8137,0.7978,0.7839,0.786,0.7881,0.7576,0.7327,0.7271,0.7625,0.7909,0.777,0.7916,0.7645,0.7645,0.6953,0.7659,0.7819,0.759,0.7181,0.7569,0.7687,0.7424,0.7645,0.7895,0.7701,0.8206,0.7763,0.75,0.7555,0.7431,0.7881,0.8054,0.7417,0.8096,0.768502,0.027333933
8,0.7715,0.8019,0.7555,0.8026,0.7971,0.7659,0.7555,0.7673,0.7486,0.7576,0.7722,0.7493,0.8172,0.804,0.7673,0.7375,0.8186,0.8006,0.7909,0.7936,0.7832,0.7722,0.7375,0.7285,0.7576,0.7922,0.7819,0.7936,0.7639,0.7673,0.7175,0.7701,0.7867,0.7694,0.7265,0.759,0.7687,0.7542,0.7659,0.7992,0.7694,0.8179,0.7812,0.7597,0.7618,0.7535,0.7853,0.8061,0.7493,0.8061,0.773202,0.024405206
9,0.7805,0.8061,0.7625,0.7943,0.8006,0.777,0.759,0.7652,0.7548,0.7569,0.7742,0.7514,0.8213,0.7971,0.7708,0.7424,0.8096,0.7964,0.7964,0.8006,0.7895,0.7763,0.7299,0.7271,0.7763,0.7909,0.7839,0.7916,0.7666,0.7805,0.7258,0.7708,0.7832,0.7666,0.7265,0.7687,0.7687,0.7514,0.7701,0.795,0.7694,0.8158,0.7819,0.7659,0.7645,0.7542,0.7881,0.8054,0.7555,0.8054,0.775252,0.023175121
10,0.7832,0.804,0.7666,0.7902,0.7985,0.7742,0.7611,0.7687,0.759,0.7569,0.7763,0.7535,0.8193,0.7964,0.7763,0.741,0.8102,0.7957,0.7929,0.7985,0.7909,0.7777,0.7355,0.7285,0.7798,0.7874,0.7909,0.7895,0.7673,0.7777,0.7355,0.7777,0.786,0.7715,0.7306,0.7777,0.768,0.7569,0.759,0.7909,0.7708,0.8199,0.7888,0.7687,0.7666,0.7604,0.7922,0.8061,0.75,0.7943,0.776386,0.021725279
