"","coef.mean","1","2","3"
"P30044",28.907,40.161,7.929,38.631
"P02760",28.503,34.321,23.502,27.686
"P06733",28.448,28.762,22.37,34.214
"Q08554",28.357,25.09,49.316,10.666
"P01011",28.248,36.506,11.546,36.691
"P25786.1",28.236,33.009,15.901,35.798
"Q03167",27.842,29.734,11.703,42.09
"D6RHI9",27.726,30.443,32.844,19.891
"P26373",27.724,23.929,44.887,14.354
"P60953",27.637,27.051,44.455,11.405
"P62701",27.574,29.114,26.562,27.044
"Q9P2X0",27.547,30.392,26.559,25.69
"F8WBR5",27.506,22.172,38.3,22.047
"M0QZC5",27.488,29.233,25.991,27.239
"Q96PD5",27.208,18.773,28.307,34.544
"P63000",27.123,19.975,24.769,36.626
"Q9H772",27.011,31.9,31.014,18.118
"P23083",26.981,31.168,18.667,31.107
"P06312",26.913,15.128,46.141,19.471
"O15143",26.913,24.002,18.308,38.428
"Q8NBJ7",26.912,27.728,25.318,27.689
"M0R0F0",26.739,28.014,18.292,33.911
"P35579",26.659,23.32,19.948,36.71
"P61353",26.626,23.363,23.47,33.045
"P04792",26.6,28.618,23.056,28.127
"P14618",26.454,19.872,34.342,25.147
"P08185",26.431,29.241,24.095,25.958
"P30101",26.347,30.116,3.5608,45.365
"P50897",26.332,31.177,18.085,29.736
"Q9Y2V2",26.281,28.039,16.85,33.955
"B4DXW1",26.173,24.71,34.406,19.404
"P05387",26.044,26.628,20.991,30.513
"O14745",25.873,28.665,10.787,38.168
"Q9NQX5",25.78,25.158,16.754,35.429
"P02671",25.75,14.461,45.37,17.418
"P26641",25.669,22.484,23.313,31.209
"P50395",25.66,17.149,24.25,35.581
"Q92597",25.548,28.921,23.882,23.841
"P08697",25.468,29.577,17.196,29.631
"P02751",25.41,23.52,33.124,19.587
"Q96FQ6",25.401,31.583,4.5155,40.104
"P53396",25.32,21.491,30.524,23.944
"Q9NZP8",25.31,29.661,11.12,35.15
"Q14512",25.308,24.085,30.696,21.142
"P22314",25.27,24.296,40.002,11.513
"Q562R1",25.178,26.697,17.484,31.354
