"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"909",1.0867,0.049664,-0.9386,0.35876,-0.43191,-0.50775,-0.52019,-0.71811
"921",0.75085,-0.98064,1.1451,0.10103,-0.074969,0.36177,-0.2484,-0.48259
"943",1.4916,-0.76055,-2.1887,-0.072752,-0.40848,-0.72531,0.81894,0.22155
"965",1.5334,-0.58212,0.57949,-0.54199,-0.62196,0.11404,-0.71067,-0.66452
"966",1.419,0.083222,0.047967,-0.76876,-1.0291,-0.13307,-0.055189,-0.72297
"983",0.2008,-0.046327,-0.36386,-0.010384,0.24082,0.17718,-0.49279,-0.12569
"987",1.1186,-0.57028,-1.7229,0.16292,-0.23402,-0.72027,-0.03867,-0.082048
"989",1.4731,-0.0090471,-1.4687,-0.11702,-0.67727,-0.95097,-0.089645,-0.17037
"990",0.14128,0.62783,-1.0235,0.33944,0.037718,-0.39208,-0.20664,0.031322
"994",1.4101,-0.30166,-1.0132,-0.091405,-0.40258,0.14892,0.031353,-0.23555
"998",1.6512,-0.31299,-1.3012,-0.55254,-0.62233,-0.27663,0.43447,0.088978
"1215",0.032316,1.2278,0.45516,1.6558,-0.60479,-0.082491,-0.076409,0.096613
"1272",0.27011,0.22708,1.5284,0.69142,-1.2344,0.40751,0.63048,0.32397
"1353",0.0081636,0.96835,1.4887,0.93111,-0.98405,0.37737,0.17126,-0.063842
"15",1.5241,0.54534,-1.1811,0.78344,0.39636,-1.1027,0.4499,0.3175
"1558",0.51815,0.17968,1.2427,0.41522,-0.57471,1.1567,0.84133,-0.35611
"1603",-0.19407,1.056,-0.27561,0.70322,-0.44364,0.42643,1.1318,0.20681
"188",1.1907,0.32662,-1.0793,0.66806,1.1187,-0.31212,-0.038635,0.10672
"197",0.4081,0.2928,0.32271,0.69894,1.5338,0.79699,-1.0147,-0.53746
"200",0.97121,0.30719,-0.65901,0.26266,0.72387,0.069165,-0.54067,0.79287
"203",0.2357,-0.4433,1.2097,0.59296,1.7098,1.1757,-0.49596,-0.017696
"28",1.2938,-0.1752,0.01325,0.74724,1.2054,-0.46407,-0.62564,-0.28139
"310",0.46556,2.971,0.70656,0.34275,0.00042162,-0.58414,-0.59548,-0.22825
"339",0.24062,1.8186,0.32593,0.09207,0.94779,0.31634,-0.21796,-0.44492
"382",-0.07717,0.81736,1.8247,-0.37053,0.77633,1.0309,0.34821,0.53766
"394",0.30857,1.7294,1.3842,-0.75434,-0.019558,0.29521,-0.24392,0.43414
"399",0.28885,1.9304,1.2625,-0.088069,0.56704,0.022189,-0.80969,0.29076
"601",0.014182,1.973,0.52649,-0.35947,0.084001,0.52816,0.19621,0.53678
"635",-0.062181,1.8514,0.73316,0.29701,1.5031,-1.1575,0.58841,-0.87502
"638",-0.38946,1.2753,1.2453,0.069472,0.45348,0.40785,0.17288,1.2871
"665",-0.087874,1.9471,0.76158,-0.43553,0.19012,0.090299,-0.19043,0.79443
"71",-0.033047,0.71403,-0.55659,1.1321,0.59928,0.6513,-0.29977,-0.041989
"720",0.098751,1.6679,1.5146,-0.47552,0.16482,0.55245,-0.072836,0.01445
"762",-0.35019,1.393,0.31769,0.85838,1.9559,-1.6946,0.49288,0.17476
"90",0.57723,0.10597,0.22196,0.49249,1.417,0.88536,-0.61368,-0.46159
"908",1.3644,0.17784,-1.1594,0.1911,-0.38889,0.30244,0.78236,0.27583
"913",0.66708,-1.3935,3.004,0.65102,0.84129,-0.38636,0.072371,0.57824
"931",0.61557,0.65604,-0.16504,0.45845,0.45568,0.47114,-0.27562,-0.36482
"932",1.2652,-1.0361,2.5485,-0.036922,-0.26182,-0.055521,0.30729,0.52586
"936",1.7656,-0.12882,-0.44485,-0.07835,-0.32655,0.14682,0.15285,0.1033
"938",1.3737,-0.6646,1.7608,0.42372,0.14016,0.77762,-0.2109,-0.21266
"945",1.0545,0.02904,-0.43183,0.49969,0.22632,0.75001,0.61659,0.16059
"946",1.9094,-0.17316,-0.86794,-0.35189,-0.3487,0.075213,1.1456,0.58357
"954",2.0159,0.047188,-0.85925,1.0405,0.24066,-0.70732,0.51823,-0.50216
"971",1.0026,-0.69996,0.35084,-0.066912,0.10546,0.73023,0.17569,0.17152
"985",1.4438,0.04015,1.8168,-0.049774,-0.28071,0.35013,-0.43427,-0.65632
"986",1.1229,-0.60374,-0.90553,0.83629,0.36815,0.36151,0.40855,0.12273
"993",1.0863,-1.0137,3.3184,0.75968,0.18149,-0.49311,-0.20304,0.14118
"995",1.1115,-0.41779,-2.1308,0.90359,0.53822,-0.28315,0.99591,0.83318
