"ter","P61626","S4R371","P01859","P01034","P49327","H0YCU0","P01009","P01011","P04745","P25311","Q08380","D6RF35","P00738","Q16851","P06733","P62937","P04406","F5GZD9","Q02818","D6RC73","P01714","P0C0L5","Q6X4U4","Q92876","P63104","P06727","P04075","O60664","Q12841","P19652","Q96KP4","P22079","P23528","P60174","Q9NP72","Q9BRK5","P50395","P04114","P20061","P43490","P00558","Q96FQ6","O75874","P60953","P02790","P53634","O00300","P14550","P04217","Q99497","P36871","P15311","P08697","Q96S86","P02671","P49189","P07900","P01008","Q9BY76","Q14624","P27105","P01133","P31946","Q9HB40","P13639","P61224","P02748","P07237","Q14118","Q6UXI9","P02675","P51148","Q5T985","P02760","G3XAM2","P01023","P05067","P54802","P31947","Q02809","P17900","P36955","P02751","D6RHI9","P04003","O00339","P43251","P02766","Q5H9A7","A0A087X1J7","Q9NR31","P04066","A6NNI4","A0A0C4DGN4","Q9UHD0","P51149","P01019","S4R3V8","P27169","P16278","E5RJB8","P62820","O00560","P31949","P07686","P00491","P27797","E9PJK1","P84077","P45877","Q8NBJ7","P55058","P0C0L4","Q96PD5","Q68D85","P10643","P52823","Q6UWP8","P63313","P61586","P28799","P18669","P04792","Q9UBI6","P08603","P30101","P11234","Q99538","P19827","O00592","P14625","P48449","P30041","O60603","Q9NZP8","P19440","Q99727","J3KS22","O94760","P61981","P52209","P60981","P08238","Q8NC51","P26038","P05387","P61026","Q9NQX5","Q9H0U4","P43652","P00918","Q2I0M4","P48723","P30086","Q9H4G4","P07737","Q13228","P11021","Q9UNQ0","P21399","Q01459","O60543","P08185","Q9UHL4","P24821","Q10471","O00462","A0A0C4DH38","O00299","P07858","P09467","Q9UL46","O43707","Q15904","O15232","Q9Y6Y9","P12273","P19113","P31431","Q8N474","I3L397","Q92520","E9PNW4","P63000","P05090","P62258","Q9NZH0","P08294","O15498","Q9P2X0","P17066","P00441","P40925","P61019","Q99519","O60547","Q8NBJ4","P61020","Q96FE7","P58499","P03950","Q14512","Q02487","Q92484","O95436","Q9BWS9","P62328","P34096","P19875","Q16651","O00764","E9PDQ1","O14745","P30085","P32119","O75083","P61313","Q9UL25","P14618","A0A087WWU8","Q04917","P20339","P62701","O15145","A0A075B7B8","Q9NV23","X6R3G6","Q15843","P30044","P62269","Q16555","Q06323","Q5JR95","Q15181","O75891","Q06210","P26373","P42330","X1WI28","C9J9K3","Q99536","Q15365","O75954","Q86SQ4","Q9Y5P6","P40429","O75355","P23396","P22314","Q8WUM4","P14324","P34896","P23381","Q9HBR0","A0A075B6I0","P04430","P49006","P23083","Q14914","P24298","P28066","P61088","P22676","Q9BWD1","Q9NR19","P26641","B1AKG0","C9JXB8","P39019","Q6UXA7","P00352","Q02878","P39023","P55072","P11216","Q8N392","Q99650","Q96MK3","Q8WVC2","P04233","P61160","P51884","Q15782","O14672","Q9Y2S2","P00568","P98082","Q96TA1","P07195","P36578","Q9NZ08","P81605","P07741","Q9Y646","Q9BXJ1","Q5JP53","P27348","Q01518","P05546","P46940","P50990","P69905","P68871","Q9NR45","P29622","P06312","P60022","E7EPB3","Q9H772","P36222","Q14195","P46777","P62805","Q03167","P15924","P20827","P04271","H3BVI7","F8WBR5","A0A0C4DH68","E9PJD9","P0DJI8","A0A0C4DH36","P01861","P11908","C9JFR9","P50897","P60866","P18085","P62424","O75629","P62263","P15814","P61353","P06702","P53396","A0A0C4DH34","P24534","Q02790","P07357","P30043","Q9UBR2","P62266","P28070","P22307","M0R0F0","A0A075B6K5","P30050","P62753","A0A0B4J1V2","Q6ZVX7","P16152","P14923","P48637","P05109","Q16706","Q08554","P25788","P10316","Q6UX73","Q7KZF4","P17858","Q13200","P50991","P01031","P35579","P01877","P59666","Q99878","J3QR09","Q6UXB2","M0R3D6","P25398","H7C2W9","P46781","P49773","D3YTB1","P62906","M0QZC5","P29762","P09237","A0A0C4DH31","A0A075B6K4","P01701","P80188","P62851","Q9H3G5","Q9NZT1","Q9Y2V2","Q66K79","P37837","Q92597","B4DXW1","P78371","P28072","P01780","C9JVB2","O15143","P49788","O43175","P04196","P27469","Q6UX06","P09960","O15144","O43405","P33908","Q9Y2J8","E9PBS1","P14868","P26572","P05154","P11279","A0A087WSY5","Q15084","P01619","P01624","Q00610","Q86VP6","O43490","P13497","Q562R1"
1,1.00329677444423,0.128318392515855,0.0403885856425064,0.144775827356227,0.119333308154368,0.0758657682174623,0.0517785901120156,0.329106647470576,0.0854351139488809,0.0255039422652889,0.0349569433815588,0.0292034831381371,0.0299693025682437,0.0538280657395762,0.0752279106525107,0.038658203846797,0.0582494297814649,0.0633509515180707,0.0237320783634127,0.0242075249783577,0.013883088092358,0.0946991693846473,0.0373865985378341,0.0214176874422057,0.024428974137112,0.0174578511039921,0.0288533796486573,0.0110328505451111,0.0172447764753424,0.0175764564209451,0.0194297863701593,0.0145724565115501,0.0137174682484502,0.0183695567397995,0.00708185618643475,0.00608589325835755,0.00822482560457889,0.00131582709109911,0.0326581870272006,0.00938615543877503,0.00971802927010457,0.00384267729013894,0.00898736351517008,0.00717543135572858,0.0177966955655257,0.00289607879755075,0.00943592483258804,0.00847924216774684,0.00880102736818841,0.00683385062397232,0.00680216980217584,0.00653771444746547,0.00273412767768407,0.00497982981292606,0.00728276572400945,0.00847673293275095,0.0129793439166559,0.00406132217620606,0.00671082318597131,0.00126646016833441,0.00454949203477313,0.00148282565481711,0.00592210080615665,0.0060901409620864,0.00594499542704639,0.00304944755287239,0.00223328973406129,0.00237137745021132,0.00155618171002411,0.00197603992718653,0.00593812941917822,0.00272084569949705,0.00145284263310021,0.00212021361897489,0.00425322340044118,0.00248087485635245,0.00256556739264265,0.00124234307901133,0.00386583637779048,0.00142293784724982,0.0037601258055581,0.00257991281370637,0.00137094885190282,0.00290496568417682,0.00721423655639525,0.000585288470716787,0.000856343028216162,0.0268904937505057,0.0336331008585454,0.00910142309499587,0.00484673276951849,0.00834078724500244,0.0216110506354966,0.0155736044839608,0.00807326096849163,0.00165330828090557,0.00195063184580274,0.00138733791767892,0.00105689686075114,0.000783456546869269,0.00512533315095378,0.00407880303244912,0.00992316270408206,0.00545966224283803,0.00124926039464523,0.00387427158193499,0.00112790577519039,0.0610354861911911,0.0106038489639945,0.00320703430406798,0.00110663306950328,0.000727010818193152,0.0702998248389884,0.000560575628367042,0.000909346323252714,0.000809021171740394,0.00444306554730658,0.00178526297475468,0.0299638953480095,0.00827192521996439,0.00947061871212233,0.0065296102060988,0.0113452534396903,0.0080727269289439,0.00127439071982952,0.00195688924335349,0.00216708884434371,0.00354246682627228,0.000619514093284468,0.0027117614058765,0.00137793068759242,0.000565123368291261,0.00827095298512017,0.000303792273267945,0.000929625983928764,0.0019432424757767,0.00217488397005569,0.006555522015419,0.00340874981066226,0.00269363003922236,0.00424307189902717,0.00271991449139254,0.00493283259513902,0.00156571575592803,0.00152962682614377,0.00584350061884257,0.000786844137315993,0.000754254889025098,0.000724640832946898,0.000844243434515909,0.00240211577877892,0.000755744981469141,0.000238412259705489,0.01967049762352,0.00592294630801494,0.0107744120950022,0.00668624113532461,0.00206328397805932,0.0020195212691078,0.00303794617138909,0.00146417280788187,0.0016982806832052,0.00136695965506971,0.000712221736188298,0.0216238604469444,0.000595040489214811,0.000441632703786872,0.00425943596400645,0.00345637572616761,0.00576342359477435,0.00322003998364466,0.00254896037726619,0.000891148966363212,0.00125328802402136,0.0042157462240348,0.00280800840946256,0.0144996080023887,0.000790533630297972,0.00340105220289726,0.00429883491055186,0.00237292046846084,0.0010216267154574,0.0872726840466839,0.00753427939074956,0.00577096296026208,0.00614344522263812,0.00646743109910208,0.00184476694811405,0.00159108975008045,0.0122969947712594,0.000551876231507631,0.0118614302267108,0.00915252289142197,0.00155131693467275,0.00117162156406477,0.00226610262647603,0.000834913477517719,0.000628628612939563,0.00188405658097346,0.00339911494424233,0.00627469760374037,0.00735312625607579,0.00110449790004046,0.000437289589542149,0.00063434011989335,0.000626075004650813,0.0218391066531334,0.0128923267223255,0.00712295837676434,0.00664568383651527,0.00519242150054821,0.0044952112132473,0.00307493744723862,0.00503000728080071,0.00398736026601562,0.00234256436524319,0.0017118055564361,0.00078824733870529,0.00433245824387696,0.00110144006987291,0.00193276420905654,0.000798680177355904,0.00275581427482546,0.000980854288335449,0.0043054397483495,0.00715258641965132,0.00387254765645992,0.00272201072007039,0.00328002286651563,0.00591124417055597,0.00449288187101421,0.00403704524579845,0.00392395823541174,0.00366500750457698,0.00321329833723295,0.00228837151370405,0.00321078109136949,0.00280192580082393,0.00395769046278441,0.00250459337046406,0.000625985140348969,0.00141219823306326,0.000750299463392505,0.000283821618465139,0.00206725882751801,0.00177209681904626,0.000673429914719473,0.00236060786855247,0.000604512356411056,0.000462540226676319,0.00295222943776309,0.0021371719024349,0.0304464857531179,0.00010835493942362,0.00780609474230206,0.00538106188854461,0.00485081289162869,0.0059613628856651,0.000604121642693536,0.00103230334770823,0.00207831787735748,0.00130887544510259,0.00166803871729273,0.0036303852713785,0.00198676513879681,0.00124896138857937,0.000801632581551285,0.00219301608608809,0.00211769109870944,0.00441881692875057,0.00186755973534137,0.00263149172752315,0.00182790421606095,0.00171539400340049,0.000869070931833763,0.00045770809787016,0.000207746006071576,0.000125936760055879,0.00460002021016796,0.00188721990197518,0.000969915057190159,0.000677956273088571,0.00214245025440229,0.000386368632546838,0.00067837996190007,0.000962833385578777,0.000323465185582852,0.000106354207893907,0.0245994671764663,0.003982861296657,0.000282100608512301,0.0326787911614082,0.00218775946569678,0.00129027054907123,0.00129166209840947,0.00146578001569144,0.0010593337997401,0.00188045746372721,0.000238561232967321,0.000231021126209379,0.0012110544168151,0.0248577549255613,0.0215726655588462,0.00158875246557853,0.000418350677779948,0.00399995831420282,0.0128829823876215,0.0034644480328511,0.0017967058428886,0.0102791878872917,0.00715956493708541,0.00351235738310437,0.00997960509414457,0.000381147455656218,0.000612191163611859,0.00298429151378532,0.00178392132096559,0.00243763932951805,0.00318179986189122,0.00460282597206431,0.00408318943177604,0.00603824221019745,0.00127939916119971,0.00607746727561801,0.00344371828943056,0.00233296418051052,0.00072696895604379,0.00421211798954599,0.00103378544967834,0.00371816364942239,0.000666497795739573,0.00382680538938397,0.00140150554569623,0.00267905615113107,0.00249428438178736,0.00203235997465366,0.0402644459149724,0.000883151496973386,0.00185644065817493,0.000309689431395001,0.00291767540167659,0.000798418900965736,0.00226854150249694,0.00209933064705589,0.00123061424716417,0.00302652962360668,0.00140975414963009,0.00277417716879619,0.00188537535490835,0.00108856615463572,0.000641959647014611,0.000518497655083971,0.00109642820691573,0.000847748680602462,0.0013608955393042,4.70985725811071e-05,0.00053513259213429,0.00110261300510479,0.000193002288389902,0.000213053353245434,0.00039025905210919,0.000774110037886071,0.000127168539297139,0.000556330541504391,2.89384391743124e-05,0.000275372276534688,0.17568193947071,0.00627301074159097,0.00719838280527162,0.00498616711227706,0.00284285616270978,0.00335632011475675,0.0027028442589026,0.00247242475751601,0.00190755874501773,0.00246767863068895,0.000994662834409238,0.00228199874473455,0.0020633616625731,0.00206982196502141,0.000722299660172642,0.0102516257227567,0.0128081205024865,0.00577916304235351,0.000922035928990346,0.00189462583835113,0.000695847084090872,0.00113737723184764,0.00069449544052931,0.000495704459647676,0.000451363542558393,0.00150435123749568,0.000456692293403138,0.000811626098312489,0.000694061301988687,0.016068964754811,0.000715593100349461,0.000730547765936819,0.000894445981274252,0.00100291052973837,0.000340066858184965,0.00018325848786875,0.00138835327118068,0.000713562244538584,0.000458702517179812,0.000742323003550004,0.000422087617991935,0.000191343352012166,0.000469795193749635,0.000217857905536455,0.000153992809730244,0.00039596780623829,0.000428225701793364,0.000173095574510307,0.000158689203378024,0.0310964410303997,0.0279771014753507,0.000140942894370996,0.000170958289489173,0.000228799083939984,6.52764999574057e-05,4.27192268191539e-05
2,1.12713867400819,0.0825654798006355,0.0367141809739972,0.179126361374347,0.159381821174776,0.0783116089666056,0.0696936960544436,0.187724835238824,0.11407323581265,0.0421897359074943,0.0431174174539143,0.0372082441524942,0.0415625166506277,0.0809991799852147,0.0988462474056466,0.0348772026438307,0.0706483196735719,0.0497063559424804,0.0207109064493938,0.0303450218339048,0.016264361045379,0.0940669278678057,0.0785438356772378,0.0131110822751262,0.029697833184289,0.0229618442958151,0.0339564808864229,0.0163843955097625,0.0112356821291162,0.0199337736007168,0.0289306950787417,0.0116880488582009,0.0277560960403591,0.0274837317201345,0.00746564937983542,0.00722660764656791,0.0121982839203345,0.00309054864419492,0.0221385453964221,0.010013080282737,0.0131259585846342,0.00468675675992651,0.0136774055033531,0.00731752927757016,0.00857840118825369,0.00310346940470558,0.00518521188019736,0.0124784598638635,0.010634431902564,0.00824518372311873,0.0101023222389752,0.00868873449897308,0.00322342051481095,0.00560770479020866,0.00492392987575432,0.00927847622211938,0.0175371227556521,0.00501305437371232,0.00713655132725102,0.0013868192254253,0.00355724460934501,0.00179767530817484,0.00730123020141425,0.00440932623440449,0.00805765100426919,0.00315121482756465,0.00209082458294146,0.00247123664085188,0.00164388035915527,0.00325313609037024,0.00443317265412614,0.00307494487108364,0.00192225621429342,0.00178517917569677,0.00383262471879108,0.00216184964975825,0.00316543018851782,0.00109538341969556,0.00719103954505048,0.00137864712808063,0.00356692673516782,0.0023726419427441,0.00103401847374473,0.00228795389197896,0.00279250318063611,0.000695214061935455,0.000698037669048455,0.0315034449214708,0.0291377652614569,0.0120991711193304,0.00521756355275332,0.00574057830717091,0.0238469009017052,0.0156893160225615,0.00561032233889229,0.00284569511741248,0.00293778302245373,0.00141982219417408,0.000762714094799256,0.000933150910293162,0.00484695806054797,0.00491430462284643,0.0120797459053198,0.00960995419786784,0.00100367932825007,0.00455774077904614,0.00253290799707447,0.0511212552960733,0.0155503850019253,0.00368721215064945,0.000902040784182802,0.000520988210242952,0.0586151898176257,0.00057155926811842,0.00113962081855187,0.00058231896550804,0.00293429023897463,0.000534687203205848,0.0559135703007155,0.011027315029543,0.00685888215642135,0.00842283808809531,0.016769374274529,0.00723067815122373,0.0012773822985942,0.00195523217205741,0.0017985925409977,0.00204829135681078,0.000809454241721625,0.001982823920186,0.00145771544214698,0.00055182985140524,0.0148142300708044,0.000265098134356287,0.00126286704089901,0.00247711958745435,0.00191405814933673,0.00880876079744661,0.00537990152509083,0.00391129519766863,0.00725455674115747,0.00382041627065931,0.00664305452912685,0.00327348748047988,0.00209519017379939,0.00964416677857372,0.000898392799397916,0.000511594672810573,0.000945920168549697,0.000945305696366886,0.00361502443422292,0.000849045188515781,0.00022215574255501,0.0216129784553387,0.00658746675172732,0.0194571855469884,0.0138342417616678,0.00238859562669545,0.00140311857756583,0.00616874135513493,0.00160776719058843,0.00276026485330595,0.00118831013380532,0.000752167071120143,0.0321737136135213,0.000631923551341278,0.000366377917157684,0.00699404551621153,0.00613166252827029,0.00359646749340698,0.00466282518740889,0.00471405006935531,0.00163421940285379,0.000923413259226737,0.00336490750374224,0.00209923801734177,0.0199348587551064,0.000686209872919539,0.00301567092700207,0.00212229706046594,0.00465538723782248,0.00117521923308595,0.096391188355601,0.00632481390781026,0.00568850390445442,0.00808313659480133,0.00693266217124337,0.00280289908992725,0.00182457741837463,0.0109076685026717,0.000601464956567038,0.0247616963404447,0.0111231808535663,0.0044501694919753,0.000765273686295256,0.00267359873596144,0.00111907997269396,0.000663332138318166,0.00163081972786911,0.00287280673707701,0.00458536418709189,0.00454059727980205,0.00107381053176609,0.000293514914798973,0.00121735289360292,0.000758782670257039,0.0527328159970668,0.00854316438042347,0.00597163411855082,0.00691631191118952,0.00510252818230191,0.00461624746235671,0.00577765305512509,0.00808251434113982,0.00840375072354076,0.00407580067460575,0.00632283360541603,0.000811741918927836,0.00549339816617263,0.0030684959515788,0.00239618813614473,0.000972135646386892,0.00525114863640944,0.00195233840614378,0.00435857227523609,0.00855322606005152,0.00682286037030238,0.00193999057215954,0.00418060510115974,0.00568743706993363,0.00611199803302252,0.00617166877271109,0.00808316552101603,0.00563763157898742,0.00374228591117569,0.00292007256917502,0.00416394581583359,0.00489589101037765,0.00862236883899739,0.00701361536277692,0.000767235981505042,0.00214933738379311,0.000987805998522683,0.000376509801420928,0.00215024317120294,0.00153571503609253,0.000636342865196854,0.00368204867869709,0.00105388570467091,0.000790632046018171,0.00370553187296169,0.00295786617711871,0.0126211830727523,6.77895595524599e-05,0.00681847472622911,0.00527683785502852,0.00513081529199974,0.00430509655452529,0.00172890416205724,0.00138441951799031,0.00341951045575201,0.00232719396254497,0.00165310331975354,0.00533122350213599,0.00158177211417731,0.00248636637051115,0.000502165010370551,0.00333761920421217,0.00271223830002092,0.0066857200556614,0.00198321891652727,0.00598175311839969,0.00285994641703475,0.00244402012022213,0.00143755574739448,0.000244675985631092,0.000182133349821345,0.000131342108654355,0.00412976778820883,0.000607781990903155,0.00160218017938881,0.000382224234765329,0.00195810860420463,0.00026224876251787,0.000522110428867239,0.00107735383704978,0.00015544864329629,0.000192587681653275,0.0327878520523119,0.00568469774284841,0.000409709620294545,0.0292795050297017,0.00372224932803962,0.00105079721707019,0.00180950151670048,0.00408806093253722,0.00192001223526904,0.00367274687955665,0.000275613157585001,0.000524225297594395,0.00159442988443939,0.0927677373843829,0.063916847395176,0.00271267562688932,0.000465957472993031,0.00439551352382983,0.00625286946181054,0.00468620490633141,0.00163556137042773,0.00591004556959322,0.00917881405093818,0.00595854654706195,0.0163241246641483,0.000356535595961384,8.55062760796703e-05,0.000962203860699177,0.00145181856904826,0.00164298896105712,0.00276656443578563,0.00505500052718382,0.00300672280402481,0.00543625135101702,0.00131625864397607,0.00638337654911224,0.00768621518001512,0.00310076607326952,0.00131997886569322,0.00669648431250125,0.00135304848915217,0.00697707874237727,0.000892510187139584,0.0109366924380225,0.00121288297558595,0.00333756915155471,0.0154656748715503,0.00390373298359762,0.00842909177700047,0.00286421849242068,0.00314918344916439,0.000270831327005782,0.00250936050200683,0.000498847626348156,0.00345060512496671,0.00337738601775786,0.00219435138536002,0.00537130029310532,0.00156815822954057,0.00555504794469713,0.00395777447758744,0.000327894229641579,0.00145837963939219,0.000601120227011749,0.000200545997627118,0.00110058299463117,0.0077902626982934,7.44942484438741e-05,0.000101430484024494,0.00263084126682277,0.000376060958416914,0.000441925160342419,0.000539784477706656,0.00106668252913969,0.000527153484407388,0.000932278203788665,2.54922646080018e-05,0.000577388700654547,0.206419411908746,0.0173907338097476,0.00793513256099281,0.0104734332524106,0.00239243812041854,0.00450946467798244,0.0068020592446097,0.00487418962103117,0.004133480073036,0.00293266472996686,0.00588903578945348,0.00360194571974187,0.00391714868312832,0.00386287942563261,0.000172132438444687,0.0114051700919211,0.00623168060653374,0.00856034596741462,0.000951112773272095,0.00311790414219657,0.000464805211583214,0.00199335860295085,0.00171801534170346,0.000838677049949028,0.00140003124400946,0.00123298705463535,0.00135058313349407,0.00141296934455922,0.000927306425723185,0.0153031765968047,0.000533291821012788,0.00128688729768908,0.000426577788227355,0.000792689725995355,0.000204405511328555,0.000846069621730231,0.000148153808465863,0.00148927539843418,0.00115559103573559,0.00174385938682511,0.000253320221854723,0.00125699906591251,0.000725294621515878,0.000630346815205714,0.000130163625456926,0.00414928841379578,0.000634982858290297,0.000244698672877859,0.000145067631609919,0.0283076302383947,0.0196841753000522,0.000303305332306148,0.000264336236468129,6.47133693174838e-06,2.09855368784507e-05,0.000117088664008025
3,2.03475736838471,0.161301852693792,0.0398316707073458,0.154542465023065,0.049374434900767,0.055511002983078,0.0544140701566792,0.106494211819052,0.0557041488684199,0.0304176874161477,0.0332154581337466,0.0377525127561031,0.037722135992097,0.0238208384422779,0.0325617331944517,0.0215335211145408,0.0241477460507879,0.0631254158715052,0.0389830141521238,0.025851843787032,0.0134082698276322,0.0489809745814807,0.0605767315502461,0.0181215634293603,0.0130909014304061,0.0145826088249854,0.0116390543024748,0.010905306272738,0.015826045481192,0.0169898343110945,0.00869918924529784,0.0140781143130109,0.0100143476616241,0.00820277875844917,0.00452985302912202,0.00787941217609571,0.00594595358848436,0.00244513596708616,0.0202294810694062,0.00349413766233236,0.0038083044052026,0.00260117480424909,0.00419134129274611,0.00527310942347956,0.00797692211976468,0.00250220706952019,0.00793376391920913,0.00449277367866893,0.00775413497642267,0.00244678124670289,0.00290718441021443,0.00498812443042738,0.00274533447261879,0.0029018072388837,0.00708845039545569,0.00350365002267263,0.00382453628648243,0.00477528528637501,0.00840549162695202,0.00142182553167487,0.00401586061944857,0.00192994132990699,0.0024597067429531,0.00329894287792928,0.00150496969264268,0.00203552701357967,0.00148219720825567,0.0021468179689329,0.0017836784261392,0.00217862930773068,0.00620927143450803,0.00194526674930466,0.00207541941533194,0.00133636495832813,0.00216010612117391,0.002058370815346,0.00143990227388385,0.00159500300085427,0.00292620395776831,0.0014988240988295,0.00217938922341658,0.00178089706245501,0.00144614629689479,0.00215131014563324,0.0126843832125707,0.000307032973924642,0.000759844650051898,0.0314454536985631,0.0262085687594604,0.0146795894193319,0.00451034215074057,0.00713116632359565,0.0162191425524882,0.00978124743967687,0.0113309184766161,0.00185924558857275,0.00153226402477456,0.00122686711206439,0.00131679083831049,0.000971248621774386,0.00337632874713495,0.00380162567240928,0.00722796815263551,0.00346208120036166,0.00103326028726676,0.00172321693003334,0.000704466943803638,0.0367981127176966,0.0078515688392178,0.00355608620198908,0.0010205785793614,0.000728285866748175,0.0594956136756958,0.000430056792025195,0.00087310671141077,0.00122857964139324,0.00231376313626464,0.00134481341981793,0.0218097029683417,0.00535719938981565,0.0152177119495756,0.00302107903384536,0.0036336961566392,0.0047168675758048,0.00136895403630423,0.000856282851318187,0.00131620806421255,0.00172801778097511,0.00086147380469256,0.0019764868281338,0.000513585413302767,0.000504636205374878,0.00432144369089442,0.000442243674585647,0.000872899593837583,0.00104334469260334,0.00111405400707124,0.0025125646131272,0.00137313291118389,0.00125470538608269,0.0018679699276287,0.00137444033179565,0.00138918384928662,0.00048289590877445,0.00101754269874097,0.00133421036553095,0.000455799044909569,0.000668953119815366,0.000308823010675334,0.000751992576329064,0.00168630130556095,0.000947405493517887,0.000250130666749125,0.00980563101536235,0.00428711453186521,0.00540007010629307,0.00201116035599797,0.00119808967914243,0.0010422735570669,0.00127216850578342,0.00138253141275023,0.00258981973152626,0.00145648965413619,0.000708762076424062,0.00096313803211291,0.000417257361145043,0.00025091276491735,0.00580984750366868,0.00236529935223205,0.00297340254061632,0.000746209352586749,0.000730111666591364,0.000316142709123536,0.00106174847953751,0.000688326119833086,0.00124169439228968,0.00385258830304071,0.000480547546975586,0.00202624051451454,0.000737723595532116,0.000940070788381085,0.0011552795501964,0.0870902458329905,0.00501080360742383,0.00386742982844952,0.00289461299544697,0.00508725276429862,0.00478080062149805,0.00147289488016646,0.0158966446965123,0.000324260963177486,0.00653263708925546,0.00340164266104648,0.00118763045925604,0.00131614168059571,0.000365600135955656,0.000337024607972257,0.000529609254267679,0.00103642221131865,0.00285537531287684,0.00757452764709211,0.0111551060282951,0.000907392595519703,0.000578419839438426,0.000314408889809448,0.000776574978360908,0.00856617621667585,0.0095115962029366,0.00621916604570672,0.00348515463270398,0.00198122419526346,0.00553320449483255,0.00284354918955774,0.00209009521272995,0.00173229681452881,0.000927848680998492,0.000378995744126182,0.000321778206696198,0.000966259792626875,0.000469749859851045,0.00116180255656643,0.000640278940336766,0.000761925547539083,0.000351533757235618,0.00328127786092689,0.00306476324578036,0.00314460965696716,0.000838866989992725,0.00123366150089541,0.00115518457973694,0.0015602991058537,0.000794011146461601,0.00101087828060419,0.000968864248644024,0.00061273936103986,0.000786862079248789,0.000825616973367194,0.000703448397084856,0.00102640477666414,0.000805179147233054,0.000611234986515707,0.000263779782413648,0.00055689615368957,0.000223227804184653,0.000274427437543391,0.000268582734657181,0.00043370932885216,0.000353713639686918,0.000104184493300444,0.000254368270464265,0.000861994452842828,0.000891741709253074,0.0121961692499833,0.000148993478758188,0.0101636749721894,0.00560211388026484,0.00393632081653574,0.00300467162854743,0.000489734711393484,0.000228356875879458,0.000660102170498173,0.00084613323863962,0.000372427221436288,0.000864273736876432,0.000344544872428579,0.000339333226205646,0.000285910382829975,9.87106652127445e-06,0.000921493151751463,0.00780311856199439,0.000242601559237624,0.000252960617360957,0.000233989928941775,0.00025735714153141,0.000222419076307406,0.000209525004435772,0.000109163658111174,0.000160779026502458,0.000764214740876849,0.000200312547529346,0.000168620499073212,0.00188721253416198,0.000723885782275396,0.000472188312930384,0.00012601598323098,0.000461818217955268,7.43209866637372e-05,1.64380434924131e-05,0.0110781406364644,0.000849538904839065,0.000155383582389936,0.0315972350466902,0.000784243690142833,0.00140972989856074,0.00166589643176818,0.00141559172018905,0.000279315610995485,0.000330093515025189,0.000418964715407057,3.58043721001866e-05,0.00010134896100547,0.121642744885551,0.106548670950397,0.000430878887730632,0.0004177487833026,0.00265985634246843,0.00335392583816435,0.00112828515787354,0.00209479048721913,0.00384462340771844,0.00216748264207321,0.000373268774332226,0.0106346771014771,0.000194889378419982,0.000269427806369968,0.00133964943605165,0.00104524472595294,0.00263624477183347,0.00127274168804241,0.00717168850138826,0.000672663888879362,0.0150270240919266,0.000950594127602771,0.0022859418818771,0.00116578936075669,0.000715684816715032,0.000823018767456006,0.000954706792127603,0.000310557786010804,0.000697018858790631,0.00153956118883707,0.00139762673103831,0.00164382409069909,0.000584374696898779,0.00850553161763516,0.000426894445183419,0.00312671982779583,0.000300853885188634,0.000339430918939685,0.000167036193151071,0.000720437453084167,0.000523234764319438,0.000614593017872794,0.000116772027802605,0.000541708490391013,0.000795376384393688,0.000818593064869041,0.000383978178343822,0.000549033774304023,0.00053870058218936,0.000253982912732385,5.88597194914275e-05,0.000643431251521615,0.000193511994584648,0.00346338008051459,0.000100671126878105,0.000219706068556945,0.000222410923553972,0.000215585116088168,0.00018651780225608,4.78921310751158e-05,0.00010833015409296,0.000223437664664774,8.198414213499e-05,2.98334294251104e-05,5.28341417812104e-05,0.124390119520373,0.0175852902164552,0.00562531104795604,0.000760603959711788,0.0016905896327237,0.000867181003429335,0.000331309428950623,0.000715187029854133,0.000374221646919326,0.000598139398204481,0.000431472160353467,0.000344316196888311,0.000327349945836828,0.000808552045767593,0.000142770496169178,0.00746048897962968,0.00667101780555995,0.00501367318031104,0.00143494748241277,0.000212793542940598,0.00201304952228384,0.000328206009609653,0.000314091451307946,4.22688451435265e-05,0.000428915991182555,0.000121648577304591,5.91926310862348e-05,0.000105440137392041,0.000343763107717591,0.00805401861529877,0.000615083855745819,1.12209920025837e-05,9.47546194263606e-05,0.000161355818993582,0.000520607617309723,0.000715151089511773,0.00108126253805876,0.000127926900181448,8.76232914435572e-05,0.00172812795556144,6.31742116408403e-05,1.2328828005938e-06,0.000129645704963223,9.83960676923954e-05,0.000242654667281051,0.000549861602605449,0.000121602475240273,0.00012528189495372,4.1178609982675e-05,0.0189319722325592,0.0211826007478063,2.92390737154627e-06,1.19463855399026e-05,0.000160048137485456,5.25118161419602e-05,0.000138545976844815
