sample,group,DSLNT,LNnH,LNDFH11,LSTA,LSTB,LSTC,LNFP ¢ó,LNFP¢ñ,3SL,6SL,3FL,2FL
338,0,17153.14,9.4,4471.68,109.86,359.48,113.71,2203.99,755.24,794.03,5942.91,1417.59,1791.21
341,0,10427.08,5.56,741.74,87.03,217.08,106.14,404.03,1010.35,1445.22,1682.91,1426.3,3633.97
348,0,3882.37,5.19,688.37,73.82,114.93,104.12,210.16,249.29,672.78,1170.02,1368.15,2329.04
359,0,13587.14,11.32,2828.67,88.38,235.03,110.56,1633.36,937.51,1165.1,3875.22,1353.12,2272.89
305,0,88367.82,5.96,9161.93,989.41,926.19,135.58,622.86,709.32,1331.08,32018.39,331.45,4098.93
318,0,659.05,2.23,100.26,66.08,63.35,104.35,52.1,58.35,49.72,26.65,114.48,375.57
339,0,11972.84,9.08,1070.94,95.39,244.17,106.32,1609.97,464.22,708.13,1258.46,1437.74,1438.85
346,0,4728.01,7.05,3664.64,94.77,144.96,108.27,830.6,350.46,354.49,2921.31,1274.96,866.14
310,0,20489.29,15.61,1489.86,104.28,365.27,109.31,1332.39,1072.71,1504.22,2261.41,1397.14,3278.47
327,0,15620.03,3.35,776.31,87.82,374.09,106.65,105.28,805.61,724.16,1001.38,118.4,3252.23
343,0,2980.85,2.23,402.36,71.78,80.7,104.96,61.35,125.36,199.9,936.33,116.1,1448.32
349,0,47376.68,18.86,19302.45,117.67,257.07,121.14,2893.11,987.74,2188.94,24516.82,1745.48,408.37
355,0,26264.28,26.72,2116.17,87.69,1144.65,111.9,203.92,1204.1,1618.15,4962.72,193.55,3970.68
309,0,17837.45,2.23,682.69,86.32,350.82,110.71,97.91,1069.32,1711.33,2757.08,203.62,5023.42
312,0,19774.4,5.53,1999.39,77.91,271.04,107.93,8899.16,1071.22,1481.52,2233.61,14120.8,3826.18
323,0,31649.14,11.86,1721.28,86.69,1074.19,104.55,206.84,1174.42,2632.92,5960.56,218.49,3999.83
324,0,11846.31,18.59,2178.15,77.35,220.87,108.7,1168.05,728.21,966.35,1162.54,1601.86,2392.52
