"pid","X983","X956","X945","X909","X924","X901","X931","X990","X985","X987","X966","X943","X938","X913","X994","X908","X989","X995","X971","X946","X965","X986","X936","X921","X993","X932","X979","X998","X911","X954","X717","X719","X759","X663","X667","X601","X638","X736","X770","X729","X767","X699","X762","X635","X665","X720","X19","X194","X90","X203","X137","X57","X151","X185","X197","X202","X28","X94","X119","X129","X49","X76","X15","X188","X186","X200","X147","X187","X190","X71","X1637","X1640","X1661","X1537","X1559","X1594","X1603","X1632","X1525","X1586","X1589","X1643","X1652","X1677","X1681","X1686","X1695","X1502","X1503","X1645","X1675","X1679","X1507","X1508","X1542","X1558","X1538","X1696","X1701","X1657","X1558.1","X1335","X1336","X1345","X1210","X1277","X1326","X1331","X1304","X1325","X1260","X1307","X1235","X1306","X1243","X1211","X1310","X1312","X1251","X1247","X1353","X1280","X1259","X1264","X1270","X1215","X1272","X1291","X1409","X1290","X1410","X348","X338","X341","X359","X305","X318","X339","X346","X310","X327","X343","X349","X355","X309","X312","X323","X324","X382","X389","X394","X399","X344","X350","X357"
"P49006",NA,8.12758e-06,NA,NA,7.05756e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65639e-06,NA,1.68059e-05,NA,0.027519981,0.007090392,NA,0.004011107,NA,0.003807236,0.003269123,0.002895277,0.003139047,NA,0.009492312,0.012981667,0.004945091,0.011748649,0.004324275,0.003912441,0.00213239,0.003856375,0.001850884,NA,NA,0.000721088,NA,0.001693498,0.004031095,0.004345337,NA,0.001815001,NA,0.001887902,0.002884927,NA,NA,NA,0.004134722,NA,NA,0.004758067,NA,NA,NA,NA,NA,0.001709525,NA,NA,NA,NA,NA,NA,0.003291918,0.002250254,NA,0.001296281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00164858,NA,NA,NA,NA,NA,NA,NA,0.0025589,NA,NA,0.001148802,NA,NA,NA,NA,NA,0.002570999,NA,NA,0.001572918,0.002355143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007026516,0.006059985,NA,0.014126031,0.009883168,NA,0.019580947,0.007777675,NA,0.013821069,0.006697054,0.014542487,NA,0.012691472,0.00517884,0.005098676,0.008545718,0.007902444,0.013274858,0.003080839,NA,0.006325337,0.016681239,NA
"P23083",NA,NA,NA,NA,NA,NA,4.03451e-05,5.02364e-05,NA,NA,NA,4.56472e-05,NA,NA,NA,NA,5.85825e-05,NA,NA,NA,NA,6.56075e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005395942,NA,0.001464148,0.017447143,0.003903588,NA,0.015376604,0.010856229,NA,NA,0.001421701,NA,NA,0.005737061,0.007789343,0.016737203,0.003207978,0.002686488,0.001991792,0.003523569,0.005405234,0.003237088,0.007095468,0.007107101,0.003778675,0.002837568,0.002935348,0.001657758,0.018927938,0.009659589,NA,NA,0.005508929,0.0047294,0.002456381,0.004339878,0.008601255,0.003686561,0.00485427,NA,NA,NA,NA,0.001116323,NA,NA,NA,NA,0.001484969,NA,NA,NA,NA,NA,0.002408928,0.001211007,NA,NA,0.003673536,NA,NA,NA,NA,NA,NA,0.001040696,NA,NA,0.001524532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002917011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004733134,0.016639909,0.002882836,NA,NA,0.018220116,NA,NA,0.002628243,0.019047702,NA,0.007473644,0.001401462,0.013579525,0.010778161,0.014606722,NA,0.010870311,0.008393661,0.005116443,0.009182587,0.007305797,NA,0.017756354
"Q14914",3.94828e-06,9.81712e-06,NA,NA,NA,1.75511e-05,NA,NA,6.64081e-06,NA,NA,NA,NA,1.87597e-05,NA,NA,NA,NA,NA,NA,7.44326e-06,NA,NA,7.67019e-06,3.69025e-05,1.01641e-05,2.39818e-06,NA,6.93111e-06,NA,0.00561017,0.00045263,0.001769006,NA,0.000559036,NA,NA,NA,NA,0.000930381,0.002533816,0.00102809,NA,NA,0.000490927,0.002255317,NA,NA,NA,NA,NA,0.000457881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001162866,NA,0.000740255,NA,NA,NA,0.000716411,0.000416722,NA,NA,NA,0.000472513,NA,NA,NA,NA,0.001221107,NA,NA,NA,NA,NA,0.000669755,NA,0.000355368,NA,NA,NA,0.000391449,0.000762232,0.00031709,0.000828187,NA,NA,NA,NA,0.000828187,NA,NA,NA,NA,0.002131569,NA,NA,NA,NA,NA,NA,NA,NA,0.000930083,NA,NA,NA,0.00115321,0.000741271,NA,NA,NA,NA,NA,NA,NA,0.000682444,NA,NA,NA,0.00280792,NA,NA,0.001404861,NA,NA,NA,NA,0.000473452,NA,NA,NA,NA,0.001834763,0.000634128,0.001146079,NA,0.001547075,0.008891165,0.00122293,NA,0.000383728,NA,0.001163224
"P24298",7.1747e-06,NA,1.34349e-06,NA,NA,2.05785e-06,1.3043e-06,NA,NA,NA,3.39351e-06,NA,NA,2.04655e-05,2.7728e-06,NA,NA,NA,2.3105e-06,3.49265e-06,4.57816e-06,NA,NA,3.14093e-06,NA,3.965e-06,NA,2.63067e-06,NA,NA,0.001727281,NA,0.000301051,0.00025132,0.001095503,0.000405159,0.000212718,NA,NA,0.001661936,0.005213007,0.001113045,0.000520642,NA,0.000436,NA,NA,NA,NA,NA,0.000366312,NA,NA,NA,0.000149622,0.000256572,NA,0.000161819,NA,NA,0.000505693,NA,NA,0.000230026,NA,NA,0.000263705,0.000494941,NA,NA,0.000180383,0.000806248,NA,0.001661407,0.000775142,0.000181413,NA,NA,0.000357199,0.00020611,0.000615574,NA,NA,0.000439014,0.000101901,NA,NA,NA,0.005648003,NA,NA,0.00013494,0.000157118,0.000585774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000126791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001112154,NA,NA,NA,0.0018615,0.000108962,NA,NA,0.00055379,NA,NA,0.000430685,NA,0.001004685,NA,0.001895089,NA,0.000210993,0.000256281,0.001675035,0.002247361,0.001168722,0.006221649,NA,0.000385112,NA,0.002323083,0.002045187
"P28066",7.79044e-06,1.53547e-05,NA,NA,7.89639e-06,1.6824e-05,NA,NA,NA,NA,NA,NA,1.40109e-05,5.50082e-05,NA,NA,NA,NA,1.18339e-05,NA,NA,NA,NA,2.09922e-05,9.4911e-06,1.60882e-05,NA,8.91666e-06,2.39176e-05,NA,NA,NA,0.003013054,0.000881393,0.00080032,0.000891282,NA,NA,0.000617551,0.003302594,0.007625072,NA,NA,NA,0.001171254,0.001768434,NA,NA,0.001263273,NA,NA,NA,NA,NA,0.000556325,0.001013814,NA,NA,NA,NA,0.000680788,NA,NA,NA,0.002961312,NA,0.003168142,NA,NA,NA,0.001697036,0.005585827,0.000613435,0.008946752,0.000438311,0.002052262,NA,NA,0.002773448,0.002828431,0.00242096,NA,NA,0.001931654,NA,NA,NA,0.000986602,0.008714813,0.001100106,0.00108055,0.001879967,0.000945326,0.002235004,0.00122457,NA,NA,0.000961762,NA,NA,NA,0.00102693,NA,NA,NA,0.009425977,NA,NA,NA,NA,NA,NA,NA,NA,0.00463472,NA,NA,0.002525904,0.003126571,0.003046858,NA,NA,NA,NA,NA,NA,0.001050014,0.003670062,NA,0.000996719,NA,0.001463955,NA,NA,NA,0.000382799,NA,NA,0.001009125,NA,NA,NA,0.003483403,NA,0.002782293,0.00083305,0.001805813,0.008489216,0.003243918,0.016742879,0.000488781,NA,NA,NA,0.003329153
"P61088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.132e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45557e-06,NA,NA,NA,NA,1.45485e-05,NA,NA,NA,NA,0.000369522,NA,NA,0.00068666,NA,NA,NA,0.003253256,0.002201097,NA,NA,0.001243347,0.001050195,NA,NA,0.000516325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000577413,NA,NA,0.002059534,NA,NA,0.002182255,0.001513604,0.002511119,0.002413075,0.001138114,0.000611988,NA,NA,0.001619813,0.001180289,0.003206233,0.002266867,NA,0.000565642,NA,NA,NA,0.000790849,0.007797055,0.000516479,0.002690819,0.002919336,0.00142099,0.001200945,0.000625081,0.001048534,NA,NA,NA,0.000647727,0.001048534,0.000819165,NA,NA,0.000710385,0.003952974,NA,0.000421902,0.000730638,NA,0.000854153,NA,0.000303561,NA,0.003807295,NA,NA,0.000576556,NA,0.001938347,0.002195726,0.000720709,NA,NA,NA,NA,0.000527832,0.001385047,NA,NA,NA,0.001397416,NA,NA,NA,NA,NA,NA,0.001387825,NA,NA,NA,NA,NA,0.004188449,0.002065326,0.003298668,0.003621348,0.004533616,0.011768756,0.000712548,NA,0.000441237,NA,0.004647958
"P22676",NA,7.86059e-06,NA,NA,NA,7.77241e-06,NA,NA,NA,NA,NA,NA,1.19552e-05,8.56259e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80708e-05,2.55081e-05,NA,NA,7.52633e-05,NA,NA,NA,0.001176245,0.000297808,0.000731111,0.000381525,0.000978687,NA,NA,NA,0.0079895,NA,NA,NA,0.000419207,0.001209364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000706049,NA,NA,NA,NA,0.000561154,NA,NA,NA,0.000780076,NA,NA,0.003279486,NA,NA,NA,0.005992751,0.000890812,0.001899999,NA,0.000434791,NA,NA,0.002989699,0.00121347,0.001321688,0.000416246,NA,NA,0.000422315,NA,NA,0.000291653,0.005832589,NA,0.000855356,0.000936344,0.000543199,0.000580229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000400589,0.000900984,NA,0.000454482,0.000178555,NA,NA,NA,0.001249239,NA,NA,NA,0.001226455,NA,NA,0.001193207,NA,NA,0.000895247,0.000297625,NA,NA,0.000747774,0.001598284,NA,0.000436101,0.000734831,0.005148086,0.003811103,0.001241529,0.00579944,0.000675895,NA,NA,NA,0.001906649
"Q9BWD1",5.25765e-06,3.91663e-05,6.28817e-06,NA,5.6631e-06,7.2577e-06,4.41883e-06,2.37717e-06,2.11045e-05,NA,1.69765e-05,NA,3.57318e-05,6.01436e-05,4.96182e-06,1.7849e-06,NA,NA,2.43376e-05,3.15617e-06,6.74249e-06,1.83634e-06,4.83294e-06,2.53849e-05,5.10777e-05,3.862e-05,5.98229e-06,NA,4.0736e-05,NA,0.008431175,NA,0.00097799,0.000187926,0.000256854,0.000224299,0.002476676,NA,NA,0.001257859,0.009526342,0.003548947,NA,NA,0.000388123,0.000241375,NA,NA,0.000977711,0.00145724,0.000891332,NA,NA,0.000394002,NA,0.001567984,0.000551768,0.000217275,0.000266502,NA,0.002549618,NA,NA,NA,0.003918263,NA,0.002762116,0.002061254,NA,0.000225857,0.006393092,0.020660776,0.001256631,0.008223815,0.002639952,0.004667854,0.000363714,NA,0.01318459,0.003213947,0.005880443,0.002314402,NA,0.005521076,0.000795515,NA,NA,NA,0.024352483,0.001627406,0.000488788,0.005293777,0.003650837,0.006717242,0.004255655,0.002009573,NA,0.0020881,0.000210954,NA,0.002009573,0.002382175,NA,NA,NA,0.003187079,NA,NA,0.00091203,NA,NA,NA,NA,NA,0.000644542,NA,0.000418664,0.001573717,0.000651272,0.000820945,0.002035164,0.004726341,0.000608058,0.001389057,NA,NA,0.001692375,0.009500745,NA,NA,NA,0.001214883,NA,NA,NA,0.000491274,0.000291147,NA,0.000264192,NA,NA,0.000182518,0.002640399,NA,0.002539547,0.001735169,0.013416173,0.006933766,0.003729819,0.010251634,0.000887732,NA,NA,0.002689254,0.003222183
"Q9NR19",NA,5.04458e-06,NA,NA,NA,NA,NA,NA,3.51199e-06,NA,NA,NA,3.83085e-06,5.01551e-06,NA,NA,NA,NA,1.06451e-06,1.16283e-06,7.44887e-07,NA,NA,1.03601e-05,5.262e-06,5.33558e-06,1.3297e-06,NA,2.21701e-05,NA,0.004109066,NA,0.000369777,NA,0.000177765,9.07133e-05,0.000985076,NA,NA,0.001775771,0.011019242,0.000722934,NA,NA,NA,0.001178022,NA,NA,0.000163401,0.000127939,NA,NA,NA,NA,NA,0.000163707,NA,NA,NA,NA,0.000254257,NA,NA,NA,0.000140358,NA,NA,0.000935079,NA,NA,0.000320397,0.002403498,0.000902823,0.001181386,NA,NA,NA,NA,NA,NA,0.001084043,NA,NA,NA,NA,NA,NA,0.000178216,0.004104549,NA,NA,0.001017377,NA,0.000625236,0.000141441,NA,NA,NA,NA,NA,NA,0.000184975,NA,NA,NA,0.001021124,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000148964,NA,0.00059082,0.000484599,0.001044201,0.000210436,0.00148127,NA,NA,NA,NA,0.000356139,0.000262759,NA,NA,NA,0.001117279,NA,0.00014795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001073914,0.000224878,0.003464184,0.004898336,0.001313977,0.007869895,0.000919217,NA,NA,NA,0.001028923
"P26641",NA,1.01622e-05,2.73802e-06,NA,1.61234e-06,9.54669e-06,NA,1.29032e-06,1.07439e-05,1.51331e-06,3.00732e-06,NA,1.6867e-05,2.93024e-05,NA,NA,NA,NA,1.01907e-05,2.86127e-06,8.47504e-06,NA,5.33371e-06,9.60562e-06,5.51314e-05,1.40205e-05,8.09981e-06,NA,3.17622e-05,NA,0.00424937,NA,0.000412232,NA,0.000101822,0.000309466,0.000141251,5.5513e-05,NA,NA,0.005931621,0.000584767,NA,NA,NA,0.001303281,NA,NA,0.000322264,0.000470375,0.00112109,NA,NA,NA,0.000156872,0.000254707,0.00020584,0.00028406,0.000165424,NA,0.000386295,0.000149606,NA,NA,0.002533535,0.000210262,0.002049463,0.002130211,NA,0.00054421,0.000740761,0.005999485,0.000523271,0.001558336,NA,0.000888486,NA,NA,0.001170006,0.000240964,0.001025636,0.000187265,NA,0.000518469,0.000320607,NA,NA,0.000478504,0.008641927,0.000207276,NA,0.000995806,0.000478064,0.001203984,0.000626422,0.000406864,NA,0.000292112,NA,NA,0.000406864,0.000309223,NA,NA,NA,0.003005533,NA,NA,NA,NA,NA,NA,NA,NA,0.000636966,0.000220421,0.001180821,0.00053361,0.001782262,0.001574416,0.000482876,0.000271011,NA,0.000216606,NA,NA,0.000584437,0.001042548,NA,0.000380642,NA,0.00101091,NA,NA,NA,0.000534758,NA,NA,0.00012762,NA,0.000405018,NA,0.000637012,NA,0.001085943,0.000788216,0.003858716,0.003801461,0.001436889,0.011139759,0.000542637,NA,NA,0.000639608,0.000997339
